query,mechanism,epsilon,true_value,mean_dp_value,mean_absolute_error,mse,num_bins
count_over_50k,Laplace,0.1,7508.0,7507.673043047453,9.11361672812713,150.19096678326176,
count_over_50k,Laplace,0.5,7508.0,7507.969924276823,1.879736253774454,6.197976610446122,
count_over_50k,Laplace,1.0,7508.0,7507.991443602767,1.0359057094860509,2.1905498069408145,
count_over_50k,Laplace,2.0,7508.0,7507.96077374169,0.5650061472016205,0.6614799561141231,
count_over_50k,Gaussian,0.1,7508.0,7506.53468059809,37.02133906511422,2418.2003299179178,
count_over_50k,Gaussian,0.5,7508.0,7508.431756933464,7.10310021287894,82.51134528446475,
count_over_50k,Gaussian,1.0,7508.0,7507.801431489899,4.121928007190045,25.95395480973119,
count_over_50k,Gaussian,2.0,7508.0,7507.833848282716,2.0497431970002116,6.580587613419871,
mean_age,Laplace,0.1,38.437901995888865,38.44019481921094,0.023513235821148015,0.0009925988506637262,
mean_age,Laplace,0.5,38.437901995888865,38.43821093284658,0.004992035035352025,5.241297206706781e-05,
mean_age,Laplace,1.0,38.437901995888865,38.43770069901043,0.0024811346909430296,1.1804283684932839e-05,
mean_age,Laplace,2.0,38.437901995888865,38.43785236285087,0.0012759956691076723,3.3208053168778534e-06,
mean_age,Gaussian,0.1,38.437901995888865,38.43706038586707,0.0981212101151629,0.014877619547058218,
mean_age,Gaussian,0.5,38.437901995888865,38.43888275420629,0.018678837759137003,0.0005335586133575743,
mean_age,Gaussian,1.0,38.437901995888865,38.438213309905706,0.009799206012389093,0.0001465441558573936,
mean_age,Gaussian,2.0,38.437901995888865,38.438647154646745,0.004525471081498082,3.305482846638588e-05,
education_histogram,Laplace,0.1,,,9.827205349541135,195.5274860862103,16.0
education_histogram,Laplace,0.5,,,1.9924605663569275,8.085719018011407,16.0
education_histogram,Laplace,1.0,,,0.9930543869960614,2.0183454572999198,16.0
education_histogram,Laplace,2.0,,,0.5036741998620687,0.5088409328561265,16.0
education_histogram,Gaussian,0.1,,,38.61141965582588,2330.1311759749137,16.0
education_histogram,Gaussian,0.5,,,7.882573730043593,97.17795096638513,16.0
education_histogram,Gaussian,1.0,,,3.774255314743895,22.791386220115058,16.0
education_histogram,Gaussian,2.0,,,1.9694305307698252,6.1007742174778175,16.0
